品牌id,品牌,车系id,车系,修改（认证车主LOGO车系使用）,厂商,,
45,广汽吉奥,552,奥轩G3,奥轩G3,广汽吉奥,,
45,广汽吉奥,553,帅豹,帅豹,广汽吉奥,,
45,广汽吉奥,554,凯睿,凯睿,广汽吉奥,,
45,广汽吉奥,555,柴神,柴神,广汽吉奥,,
45,广汽吉奥,556,帅凌,帅凌,广汽吉奥,,
45,广汽吉奥,559,猛将旅,猛将旅,广汽吉奥,,
46,观致汽车,560,观致3,观致3,观致汽车,,
47,GMC,561,GMC(进口),GMC,GMC,,
48,光冈,562,大蛇(进口),大蛇,光冈,,
48,光冈,563,嘉路(进口),嘉路,光冈,,
48,光冈,564,女王(进口),女王,光冈,,
49,广汽日野,565,270Y系列,270Y,广汽日野,,
49,广汽日野,566,320D系列,320D,广汽日野,,
49,广汽日野,567,300J系列,300J,广汽日野,,
50,哈弗,568,哈弗H6,H6,哈弗,,
50,哈弗,569,哈弗H5,H5,哈弗,,
50,哈弗,570,哈弗派,哈弗派,哈弗,,
50,哈弗,574,哈弗H3,H3,哈弗,,
22,长城,575,长城M1,M1,长城,,
51,海马,576,海马M3,M3,海马,,
51,海马,577,海马S7,S7,海马,,
51,海马,578,普力马,普力马,海马,,
51,海马,579,丘比特,丘比特,海马,,
51,海马,580,福美来,福美来,海马,,
51,海马,581,骑士,骑士,海马,,
51,海马,582,海福星,海福星,海马,,
51,海马,583,福美来VS,福美来VS,海马,,
51,海马,586,海南马自达323,323,海马,,
51,海马,587,海马3,海马3,海马,,
51,海马,588,欢动,欢动,海马,,
52,华泰,590,圣达菲,圣达菲,华泰,,
52,华泰,591,宝利格,宝利格,华泰,,
52,华泰,592,路盛E70,路盛E70,华泰,,
52,华泰,593,华泰B11,B11,华泰,,
52,华泰,594,特拉卡,特拉卡,华泰,,
53,红旗,595,红旗H7,H7,红旗,,
53,红旗,598,红旗盛世,盛世,红旗,,
53,红旗,599,明仕,明仕,红旗,,
53,红旗,600,世纪星,世纪星,红旗,,
53,红旗,601,红旗旗舰,旗舰,红旗,,
54,海马商用车,602,海马王子,王子,海马商用车,,
54,海马商用车,603,海马爱尚,爱尚,海马商用车,,
54,海马商用车,604,福仕达新腾达,福仕达新腾达,海马商用车,,
54,海马商用车,605,福仕达鸿达,福仕达鸿达,海马商用车,,
54,海马商用车,606,福仕达新鸿达,福仕达新鸿达,海马商用车,,
54,海马商用车,607,福仕达荣达,福仕达荣达,海马商用车,,
54,海马商用车,608,腾达,腾达,海马商用车,,
54,海马商用车,609,福卡,福卡,海马商用车,,
55,黄海,611,挑战者,挑战者,黄海,,
55,黄海,612,旗胜F1,旗胜F1,黄海,,
55,黄海,613,旗胜V3,旗胜V3,黄海,,
55,黄海,614,大柴神,大柴神,黄海,,
55,黄海,615,翱龙CUV,翱龙CUV,黄海,,
55,黄海,616,小柴神,小柴神,黄海,,
55,黄海,617,傲骏,傲骏,黄海,,
55,黄海,618,旗胜CUV,旗胜CUV,黄海,,
55,黄海,620,傲龙CUV,傲龙CUV,黄海,,
55,黄海,621,翱龙SUV,翱龙SUV,黄海,,
55,黄海,622,曙光骄子,曙光骄子,黄海,,
55,黄海,623,领航者,海领航者,黄海,,
55,黄海,625,黄海征服者,征服者,黄海,,
55,黄海,626,傲羚,傲羚,黄海,,
56,哈飞,627,路宝,路宝,哈飞,,
56,哈飞,628,赛马,赛马,哈飞,,
56,哈飞,629,新民意,新民意,哈飞,,
56,哈飞,630,中意,中意,哈飞,,
56,哈飞,631,赛豹Ⅲ,赛豹Ⅲ,哈飞,,
56,哈飞,632,路尊小霸王,路尊小霸王,哈飞,,
56,哈飞,633,骏意,骏意,哈飞,,
56,哈飞,634,民意,民意,哈飞,,
56,哈飞,636,路尊大霸王,路尊大霸王,哈飞,,
56,哈飞,637,哈飞单双排,单双排,哈飞,商用车，删除,
56,哈飞,638,中意单双排,中意,哈飞,商用车，删除,
56,哈飞,640,普面,普面,哈飞,商用车，删除,
56,哈飞,641,赛豹V系,赛豹V系,哈飞,,
56,哈飞,642,百利,百利,哈飞,,
56,哈飞,643,民意单双排,民意,哈飞,,
56,哈飞,645,民意一排半,民意,哈飞,,
57,海格,646,客卡,客卡,海格,商用车，删除,
57,海格,647,新大海狮,大海狮,海格,商用车，删除,
57,海格,648,高大海狮,大海狮,海格,商用车，删除,
58,恒天汽车,650,途腾T3,途腾,恒天汽车,,
58,恒天汽车,651,途腾T2,途腾,恒天汽车,,
58,恒天汽车,652,途腾T1,途腾,恒天汽车,,
59,汇众,653,伊思坦纳,伊思坦纳,汇众,商用车，删除,
59,汇众,654,德驰,德驰,汇众,商用车，删除,
60,江淮,655,瑞风S5,瑞风S5,江淮,,
60,江淮,656,和悦A30,和悦,江淮,,
60,江淮,657,瑞风,瑞风,江淮,,
60,江淮,658,和悦RS,和悦,江淮,,
60,江淮,659,和悦,和悦,江淮,,
60,江淮,660,同悦,同悦,江淮,,
60,江淮,661,瑞鹰,瑞鹰,江淮,,
60,江淮,662,悦悦,悦悦,江淮,,
60,江淮,663,瑞风M5,瑞风M5,江淮,,
60,江淮,664,同悦RS,同悦RS,江淮,,
60,江淮,665,宾悦,宾悦,江淮,,
60,江淮,666,星锐,星锐,江淮,,
60,江淮,667,瑞铃,瑞铃,江淮,,
60,江淮,668,瑞风改装车,瑞风,江淮,,
60,江淮,669,雪豹X50,安驰雪豹X50,江淮安驰,,
60,江淮,674,威豹,安驰威豹,江淮安驰,,
60,江淮,676,金牛,安驰金牛,江淮安驰,,
61,Jeep,680,Jeep2500,Jeep2500,北京吉普,,
61,Jeep,681,切诺基,切诺基,北京吉普切诺基,,
61,Jeep,682,大切诺基,大切诺基,北京吉普切诺基,,
61,Jeep,683,指南者,指南者,进口Jeep,,
61,Jeep,684,大切诺基(进口),大切诺基,进口Jeep,,
61,Jeep,685,牧马人,牧马人,进口Jeep,,
61,Jeep,686,自由客,自由客,进口Jeep,,
61,Jeep,688,指挥官(进口),指挥官,进口Jeep,,
61,Jeep,689,自由人(进口),自由人,进口Jeep,,
62,吉利全球鹰,690,全球鹰GX7,全球鹰GX7,吉利全球鹰,,
62,吉利全球鹰,691,熊猫,熊猫,吉利全球鹰,,
62,吉利全球鹰,692,全球鹰GC7,全球鹰GC7,吉利全球鹰,,
62,吉利全球鹰,693,自由舰,自由舰,吉利全球鹰,,
62,吉利全球鹰,694,远景,远景,吉利全球鹰,,
62,吉利全球鹰,695,全球鹰GX2,全球鹰GX2,吉利全球鹰,,
63,吉利帝豪,698,帝豪EC7,帝豪EC7,吉利帝豪,,
63,吉利帝豪,699,帝豪EC8,帝豪EC8,吉利帝豪,,
63,吉利帝豪,700,帝豪EC7-RV,帝豪EC7-RV,吉利帝豪,,
64,捷豹,701,捷豹XF,XF,捷豹,,
64,捷豹,702,捷豹XJ,XJ,捷豹,,
64,捷豹,703,捷豹F-Type,F-Type,捷豹,,
64,捷豹,704,捷豹XKR(进口),XKR,捷豹,,
64,捷豹,706,捷豹XK(进口),XK,捷豹,,
64,捷豹,707,捷豹XFR(进口),XFR,捷豹,,
64,捷豹,708,捷豹S-TYPE(进口),S-TYPE,捷豹,,
65,吉利英伦,709,英伦SX7,SX7,吉利英伦,,
65,吉利英伦,710,英伦SC7,SC7,吉利英伦,,
65,吉利英伦,711,金刚2代,金刚2代,吉利英伦,,
65,吉利英伦,712,英伦SC6,SC6,吉利英伦,,
65,吉利英伦,713,金鹰,鹰,吉利英伦,,
65,吉利英伦,714,英伦SC3,SC3,吉利英伦,,
65,吉利英伦,715,英伦SC5-RV,SC5-RV,吉利英伦,,
65,吉利英伦,716,英伦TX4,TX4,吉利英伦,,
65,吉利英伦,718,金刚,金刚,吉利英伦,,
66,江铃,719,驭胜,驭胜,江铃,,
66,江铃,720,经典全顺,全顺,江铃,商用车，删除,
66,江铃,721,福特新世代全顺,新世代全顺,江铃,商用车，删除,
66,江铃,722,宝典,宝典,江铃,,
66,江铃,723,域虎,域虎,江铃,,
66,江铃,724,宝威,宝威,江铃,,
66,江铃,725,顺达,顺达,江铃,,
66,江铃,726,凯运,凯运,江铃,,
66,江铃,727,凯锐,凯锐,江铃,,
67,金杯,729,智尚S30,智尚S30,金杯,,
67,金杯,730,金杯海狮,海狮,金杯,商用车，删除,
67,金杯,731,阁瑞斯MPV,阁瑞斯MPV,金杯,,
67,金杯,732,华晨金杯S50,金杯S50,金杯,,
67,金杯,733,小海狮,小海狮,金杯,商用车，删除,
67,金杯,734,大海狮,大海狮,金杯,商用车，删除,
67,金杯,735,海狮第6代,海狮,金杯,商用车，删除,
67,金杯,736,海星,海星,金杯,,
67,金杯,737,西部大力神,西部大力神,金杯,,
67,金杯,738,雷龙,雷龙,金杯,,
67,金杯,739,金典,金典,金杯,,
67,金杯,741,金杯霸道SUV,霸道SUV,金杯,,
68,江南,742,奥拓经典,奥拓经典,江南,,
68,江南,743,传奇,传奇,江南,,
68,江南,744,江南风光,风光,江南,,
68,江南,745,江南精灵,精灵,江南,,
69,金龙联合,746,金龙海狮,海狮,金龙联合,商用车，删除,
69,金龙联合,747,金龙金威,金威,金龙联合,商用车，删除,
69,金龙联合,748,金龙凯歌,凯歌,金龙联合,商用车，删除,
70,九龙,749,九龙商务车,九龙商务车,九龙,商用车，删除,
71,金旅客车,753,考斯特,考斯特,金旅客车,商用车，删除,
73,凯迪拉克,756,凯迪拉克XTS,XTS,上海通用凯迪拉克,,
73,凯迪拉克,757,凯迪拉克赛威,赛威,上海通用凯迪拉克,,
73,凯迪拉克,760,凯迪拉克SRX(进口),SRX,进口凯迪拉克,,
73,凯迪拉克,761,凯迪拉克CTS(进口),CTS,进口凯迪拉克,,
73,凯迪拉克,762,凯迪拉克ATS,ATS,进口凯迪拉克,,
73,凯迪拉克,763,凯迪拉克CTS COUPE,CTS COUPE,进口凯迪拉克,,
73,凯迪拉克,764,凯迪拉克凯雷德,凯雷德,进口凯迪拉克,,
73,凯迪拉克,765,凯迪拉克CTS-V(进口),CTS-V,进口凯迪拉克,,
73,凯迪拉克,766,凯迪拉克凯雷德 Hybrid,凯雷德 Hybrid,进口凯迪拉克,,
73,凯迪拉克,767,凯迪拉克加长版,加长版,进口凯迪拉克,,
73,凯迪拉克,768,凯迪拉克XLR(进口),XLR,进口凯迪拉克,,
73,凯迪拉克,769,凯迪拉克帝威,帝威,进口凯迪拉克,,
73,凯迪拉克,770,凯迪拉克凯雷德外交官(进口),凯雷德外交官,进口凯迪拉克,,
73,凯迪拉克,772,凯迪拉克DTS(进口),DTS(进口),进口凯迪拉克,,
74,克莱斯勒,773,铂锐,铂锐,北奔克莱斯勒,,
74,克莱斯勒,774,克莱斯勒300C,300C,北奔克莱斯勒,,
74,克莱斯勒,775,大捷龙,大捷龙,东南克莱斯勒,,
74,克莱斯勒,776,克莱斯勒300C(进口),300C,进口克莱斯勒,,
74,克莱斯勒,777,城乡,城乡,进口克莱斯勒,,
74,克莱斯勒,778,PT漫步者(进口),PT漫步者,进口克莱斯勒,,
74,克莱斯勒,779,大捷龙(进口),大捷龙,进口克莱斯勒,,
74,克莱斯勒,781,辉煌(进口),辉煌,进口克莱斯勒,,
74,克莱斯勒,783,赛百灵(进口),赛百灵,进口克莱斯勒,,
75,开瑞,787,开瑞优优,优优,开瑞,,
75,开瑞,788,开瑞优雅,优雅,开瑞,,
75,开瑞,789,开瑞优劲,优劲,开瑞,,
75,开瑞,790,开瑞优胜,优胜,开瑞,,
75,开瑞,791,爱卡,爱卡,开瑞,,
75,开瑞,792,开瑞优翼,优翼,开瑞,,
75,开瑞,793,开瑞优派,优派,开瑞,,
75,开瑞,794,开瑞3,开瑞3,开瑞,,
76,科尼塞克,795,柯尼赛格CCR(进口),CCR,科尼塞克,,
76,科尼塞克,796,Agera,Agera,科尼塞克,,
77,卡尔森,797,卡尔森GL级,GL级,卡尔森,,
77,卡尔森,798,卡尔森C25,C25,卡尔森,,
77,卡尔森,799,卡尔森S级,S级,卡尔森,,
78,铃木,800,奥拓,奥拓,长安铃木,,
78,铃木,801,雨燕,雨燕,长安铃木,,
78,铃木,802,天语SX4两厢,天语SX4,长安铃木,,
78,铃木,803,羚羊,羚羊,长安铃木,,
78,铃木,804,天语SX4锐骑,天语SX4,长安铃木,,
78,铃木,805,天语SX4尚悦,天语SX4,长安铃木,,
78,铃木,806,天语SX4三厢,天语SX4,长安铃木,,
78,铃木,807,锋驭,锋驭,长安铃木,,
78,铃木,808,北斗星,北斗星,昌河铃木,,
78,铃木,809,北斗星X5,北斗星X5,昌河铃木,,
78,铃木,810,利亚纳两厢,利亚纳,昌河铃木,,
78,铃木,811,派喜,派喜,昌河铃木,,
78,铃木,812,利亚纳三厢,利亚纳,昌河铃木,,
78,铃木,813,浪迪,浪迪,昌河铃木,,
78,铃木,814,利亚纳A6三厢,利亚纳A6,昌河铃木,,
78,铃木,815,利亚纳A6两厢,利亚纳A6,昌河铃木,,
78,铃木,817,吉姆尼(进口),吉姆尼,进口铃木,,
78,铃木,818,超级维特拉(进口),维特拉,进口铃木,,
78,铃木,819,凯泽西,凯泽西,进口铃木,,
79,路虎,821,揽胜极光,揽胜极光,路虎,,
79,路虎,822,揽胜,揽胜,路虎,,
79,路虎,823,神行者2代,神行者2代,路虎,,
79,路虎,824,发现,发现,路虎,,
79,路虎,825,揽胜运动版,揽胜运动版,路虎,,
79,路虎,826,路虎卫士,路虎卫士,路虎,,
80,雷克萨斯,829,雷克萨斯ES,ES,雷克萨斯,,
80,雷克萨斯,830,雷克萨斯RX,RX,雷克萨斯,,
80,雷克萨斯,831,雷克萨斯IS,IS,雷克萨斯,,
80,雷克萨斯,832,雷克萨斯CT,CT,雷克萨斯,,
80,雷克萨斯,833,雷克萨斯GS,GS,雷克萨斯,,
80,雷克萨斯,834,雷克萨斯LX,LX,雷克萨斯,,
80,雷克萨斯,835,雷克萨斯LS,LS,雷克萨斯,,
80,雷克萨斯,836,雷克萨斯LF-A,LF-A,雷克萨斯,,
80,雷克萨斯,837,雷克萨斯GX,GX,雷克萨斯,,
80,雷克萨斯,838,雷克萨斯RC,RC,雷克萨斯,,
80,雷克萨斯,839,雷克萨斯SC(进口),SC(进口),雷克萨斯,,
81,力帆,840,力帆320,320,力帆,,
81,力帆,841,力帆X60,X60,力帆,,
81,力帆,842,力帆720,720,力帆,,
81,力帆,843,力帆620,620,力帆,,
81,力帆,844,力帆330,330,力帆,,
81,力帆,845,力帆520,520,力帆,,
81,力帆,846,力帆530,530,力帆,,
81,力帆,847,力帆520i,520i,力帆,,
81,力帆,848,力帆630,630,力帆,,
81,力帆,849,丰顺,丰顺,力帆,,
81,力帆,850,兴顺,兴顺,力帆,,
82,兰博基尼,852,Aventador,Aventador,兰博基尼,,
82,兰博基尼,853,盖拉多,盖拉多,兰博基尼,,
82,兰博基尼,854,蝙蝠(进口),蝙蝠,兰博基尼,,
83,陆风,856,陆风X5,X5,陆风,,
83,陆风,857,陆风X8,X8,陆风,,
83,陆风,858,陆风X6,X6,陆风,,
83,陆风,859,陆风X9,X9,陆风,,
83,陆风,860,陆风风尚,风尚,陆风,,
83,陆风,861,陆风风华,风华,陆风,,
83,陆风,862,陆风新饰界,新饰界,陆风,,
84,雷诺,863,科雷傲,科雷傲,雷诺,,
84,雷诺,864,风朗,风朗,雷诺,,
84,雷诺,865,纬度,纬度,雷诺,,
84,雷诺,866,梅甘娜,梅甘娜,雷诺,,
84,雷诺,867,风景,风景,雷诺,,
84,雷诺,868,塔利斯曼,塔利斯曼,雷诺,,
84,雷诺,869,拉古那,拉古那,雷诺,,
84,雷诺,873,雷诺威赛帝(进口),威赛帝,雷诺,,
85,猎豹汽车,874,猎豹CT5,CT5,猎豹皮卡,,
